,AidData TUFF Project ID,city_temp_id,region_temp_id,country_id
2269,53888.0,58,,192
2270,69985.0,59,,192
2271,88130.0,60,,192
2272,54572.0,19,,029
2273,43803.0,71,,209
2274,34070.0,45,,233
2275,43265.0,138,,182
2276,66650.0,139,,182
2277,66652.0,140,,182
2278,117.0,35,,126
2279,59509.0,36,,126
2280,85366.0,37,,126
2281,37417.0,97,,020
2282,35669.0,35,,097
2283,39082.0,3413,,021
2284,824.0,23,,098
2285,36221.0,16,,071
2286,56135.0,33,,071
2287,72774.0,34,,071
2288,32202.0,71,,226
2289,38785.0,72,,226
2290,31835.0,70,,127
2291,31875.0,71,,127
2292,36229.0,33,,128
2293,87603.0,34,,128
2294,35671.0,42,,129
2295,44148.0,176,,017
2296,36000.0,476,,038
2297,73526.0,15,,099
2298,57779.0,56,,100
2299,57887.0,57,,100
2300,59183.0,58,,100
2301,37877.0,4,,003
2302,40532.0,5,,003
2303,37238.0,32,,039
2304,37397.0,33,,039
2305,718.0,2,,072
2306,30583.0,42,,072
2307,73835.0,52,,240
2308,86324.0,53,,240
2309,31415.0,133,,101
2310,31680.0,134,,101
2311,34183.0,135,,101
2312,53519.0,136,,101
2313,59478.0,137,,101
2314,73145.0,138,,101
2315,59258.0,24,,139
2316,59342.0,25,,139
2317,59358.0,4,,139
2318,59597.0,26,,139
2319,72398.0,27,,139
2320,69451.0,99,,018
2321,35430.0,29,,130
2322,61637.0,30,,130
2323,62257.0,31,,130
2324,56238.0,28,,141
2325,59452.0,29,,141
2326,966.0,105,,142
2327,1346.0,106,,142
2328,60727.0,107,,142
2329,41932.0,36,,026
2330,85.0,36,,102
2331,34177.0,37,,102
2332,34781.0,38,,102
2333,60470.0,39,,102
2334,73173.0,40,,102
2335,42263.0,48,,186
2336,1882.0,51,,074
2337,30801.0,52,,074
2338,2373.0,46,,076
2339,13330.0,47,,076
2340,35004.0,48,,076
2341,745.0,21,,077
2342,70791.0,40,,047
2343,37864.0,213,,216
2344,38604.0,214,,216
2345,38606.0,215,,216
2346,62053.0,216,,216
2347,62206.0,217,,216
2348,56963.0,39,,050
2349,43967.0,29,,146
2350,40174.0,152,,211
2351,54489.0,153,,211
2352,54524.0,154,,211
2353,1112.0,111,,103
2354,1278.0,112,,103
2355,16026.0,113,,103
2356,59034.0,114,,103
2357,40359.0,56,,212
2358,43845.0,57,,212
2359,46364.0,58,,212
2360,73074.0,59,,212
2361,33790.0,68,,227
2362,33794.0,69,,227
2363,33800.0,70,,227
2364,63224.0,71,,227
2365,63335.0,72,,227
2366,1653.0,51,,078
2367,1661.0,52,,078
2368,1673.0,53,,078
2369,39975.0,54,,078
2370,1020.0,44,,119
2371,774.0,64,,105
2372,35417.0,65,,105
2373,58226.0,66,,105
2374,58227.0,67,,105
2375,69242.0,68,,105
2376,38230.0,35,,197
2377,1505.0,48,,079
2378,1506.0,49,,079
2379,1508.0,50,,079
